InputSize, Comp(NES), Comp(ES)
1, 0, 0
2, 1, 1
3, 3, 2
4, 6, 5
5, 10, 10
6, 15, 15
7, 21, 20
8, 28, 27
9, 36, 35
10, 45, 44
11, 55, 52
12, 66, 66
13, 78, 78
14, 91, 76
15, 105, 99
16, 120, 84
17, 136, 133
18, 153, 125
19, 171, 171
20, 190, 190
21, 210, 209
22, 231, 231
23, 253, 238
24, 276, 261
25, 300, 299
26, 325, 324
27, 351, 345
28, 378, 375
29, 406, 396
30, 435, 429
31, 465, 465
32, 496, 496
33, 528, 518
34, 561, 555
35, 595, 580
36, 630, 602
37, 666, 638
38, 703, 697
39, 741, 741
40, 780, 780
41, 820, 810
42, 861, 825
43, 903, 875
44, 946, 945
45, 990, 990
46, 1035, 1020
47, 1081, 1081
48, 1128, 1125
49, 1176, 1175
50, 1225, 1225
51, 1275, 1272
52, 1326, 1316
53, 1378, 1378
54, 1431, 1425
55, 1485, 1484
56, 1540, 1537
57, 1596, 1596
58, 1653, 1647
59, 1711, 1701
60, 1770, 1770
61, 1830, 1829
62, 1891, 1891
63, 1953, 1938
64, 2016, 2016
65, 2080, 2035
66, 2145, 2124
67, 2211, 2196
68, 2278, 2278
69, 2346, 2346
70, 2415, 2387
71, 2485, 2440
72, 2556, 2555
73, 2628, 2628
74, 2701, 2700
75, 2775, 2772
76, 2850, 2850
77, 2926, 2881
78, 3003, 2988
79, 3081, 3081
80, 3160, 3145
81, 3240, 3185
82, 3321, 3321
83, 3403, 3172
84, 3486, 3486
85, 3570, 3555
86, 3655, 3502
87, 3741, 3735
88, 3828, 3818
89, 3916, 3915
90, 4005, 4004
91, 4095, 4040
92, 4186, 4186
93, 4278, 4278
94, 4371, 4371
95, 4465, 4464
96, 4560, 4560
97, 4656, 4628
98, 4753, 4732
99, 4851, 4850
100, 4950, 4935
