InputSize, Comp(NES), Comp(ES)
1, 0, 0
2, 1, 1
3, 3, 2.92
4, 6, 5.68
5, 10, 9.28
6, 15, 14
7, 21, 18.8
8, 28, 26.84
9, 36, 35.04
10, 45, 42.96
11, 55, 53.12
12, 66, 63.12
13, 78, 73.56
14, 91, 87.96
15, 105, 100.44
16, 120, 117.2
17, 136, 129.28
18, 153, 148.96
19, 171, 165.24
20, 190, 186.64
21, 210, 204.08
22, 231, 226.08
23, 253, 247.6
24, 276, 268.52
25, 300, 295.52
26, 325, 314.32
27, 351, 343.12
28, 378, 369.76
29, 406, 397.84
30, 435, 426.52
31, 465, 458.68
32, 496, 486.64
33, 528, 519.04
34, 561, 556.2
35, 595, 584.72
36, 630, 618.04
37, 666, 655.2
38, 703, 695.56
39, 741, 732.48
40, 780, 763.64
41, 820, 810.12
42, 861, 846.88
43, 903, 892.88
44, 946, 932.08
45, 990, 977.72
46, 1035, 1022.76
47, 1081, 1065.72
48, 1128, 1120.36
49, 1176, 1166
50, 1225, 1216.52
51, 1275, 1264.2
52, 1326, 1310.84
53, 1378, 1367.76
54, 1431, 1420.24
55, 1485, 1474.96
56, 1540, 1512.56
57, 1596, 1582.2
58, 1653, 1636.72
59, 1711, 1697
60, 1770, 1758.12
61, 1830, 1818.6
62, 1891, 1860.96
63, 1953, 1940.8
64, 2016, 2005.44
65, 2080, 2061.56
66, 2145, 2128.88
67, 2211, 2193.64
68, 2278, 2261
69, 2346, 2328.84
70, 2415, 2399.72
71, 2485, 2466.4
72, 2556, 2534.56
73, 2628, 2611.76
74, 2701, 2684.68
75, 2775, 2751.84
76, 2850, 2824.56
77, 2926, 2905.04
78, 3003, 2988.8
79, 3081, 3049.2
80, 3160, 3143.36
81, 3240, 3219.16
82, 3321, 3308.36
83, 3403, 3379.56
84, 3486, 3469.68
85, 3570, 3557.4
86, 3655, 3637.96
87, 3741, 3724.76
88, 3828, 3807.72
89, 3916, 3895.16
90, 4005, 3980.6
91, 4095, 4078.64
92, 4186, 4166.08
93, 4278, 4263.12
94, 4371, 4346.88
95, 4465, 4455.16
96, 4560, 4534.8
97, 4656, 4634.92
98, 4753, 4729.08
99, 4851, 4830.48
100, 4950, 4942.28
