InputSize, Comp(NES), Comp(ES)
1, 0, 0
2, 1, 1
3, 3, 2
4, 6, 5
5, 10, 9
6, 15, 15
7, 21, 6
8, 28, 7
9, 36, 30
10, 45, 35
11, 55, 34
12, 66, 30
13, 78, 42
14, 91, 85
15, 105, 99
16, 120, 92
17, 136, 130
18, 153, 143
19, 171, 171
20, 190, 145
21, 210, 174
22, 231, 126
23, 253, 243
24, 276, 270
25, 300, 300
26, 325, 259
27, 351, 273
28, 378, 363
29, 406, 385
30, 435, 407
31, 465, 312
32, 496, 475
33, 528, 500
34, 561, 546
35, 595, 540
36, 630, 585
37, 666, 666
38, 703, 598
39, 741, 213
40, 780, 770
41, 820, 630
42, 861, 816
43, 903, 848
44, 946, 945
45, 990, 837
46, 1035, 825
47, 1081, 891
48, 1128, 1037
49, 1176, 1023
50, 1225, 1147
51, 1275, 840
52, 1326, 1298
53, 1378, 1368
54, 1431, 1353
55, 1485, 1470
56, 1540, 1044
57, 1596, 1406
58, 1653, 1647
59, 1711, 1620
60, 1770, 1715
61, 1830, 1599
62, 1891, 1738
63, 1953, 1763
64, 2016, 1386
65, 2080, 2065
66, 2145, 1955
67, 2211, 2021
68, 2278, 2263
69, 2346, 2241
70, 2415, 2162
71, 2485, 2232
72, 2556, 2436
73, 2628, 2537
74, 2701, 2401
75, 2775, 2747
76, 2850, 2184
77, 2926, 2905
78, 3003, 2867
79, 3081, 2781
80, 3160, 2929
81, 3240, 3104
82, 3321, 2970
83, 3403, 3232
84, 3486, 3333
85, 3570, 3339
86, 3655, 3060
87, 3741, 3636
88, 3828, 3818
89, 3916, 3640
90, 4005, 3509
91, 4095, 3599
92, 4186, 3780
93, 4278, 4173
94, 4371, 4266
95, 4465, 4444
96, 4560, 4455
97, 4656, 4026
98, 4753, 4402
99, 4851, 4845
100, 4950, 4485
