InputSize, Comp(NES), Comp(ES)
1, 0, 0
2, 1, 1
3, 3, 2
4, 6, 5.04
5, 10, 6.44
6, 15, 11.12
7, 21, 15.76
8, 28, 18.6
9, 36, 23.36
10, 45, 34.68
11, 55, 45.76
12, 66, 45
13, 78, 55.52
14, 91, 68.2
15, 105, 82.04
16, 120, 86.76
17, 136, 109.76
18, 153, 129.8
19, 171, 132.88
20, 190, 150.68
21, 210, 167.32
22, 231, 189.48
23, 253, 206.24
24, 276, 224
25, 300, 235.52
26, 325, 277.68
27, 351, 288.44
28, 378, 333.88
29, 406, 331.08
30, 435, 363.52
31, 465, 401.84
32, 496, 395.08
33, 528, 455.28
34, 561, 476.12
35, 595, 504.64
36, 630, 520.36
37, 666, 596.64
38, 703, 619.48
39, 741, 645.6
40, 780, 662.84
41, 820, 717.28
42, 861, 774.24
43, 903, 794.12
44, 946, 831.28
45, 990, 881
46, 1035, 914.56
47, 1081, 934.36
48, 1128, 1006.4
49, 1176, 1093.48
50, 1225, 1075
51, 1275, 1122.44
52, 1326, 1229.08
53, 1378, 1211.56
54, 1431, 1240.44
55, 1485, 1354.32
56, 1540, 1419.92
57, 1596, 1448.32
58, 1653, 1555.72
59, 1711, 1510.4
60, 1770, 1600.48
61, 1830, 1679.64
62, 1891, 1719.24
63, 1953, 1807.8
64, 2016, 1833.36
65, 2080, 1943.52
66, 2145, 1963.68
67, 2211, 1981.56
68, 2278, 2122.08
69, 2346, 2176.12
70, 2415, 2234.12
71, 2485, 2298.64
72, 2556, 2354.36
73, 2628, 2393.68
74, 2701, 2473.96
75, 2775, 2619.32
76, 2850, 2680.32
77, 2926, 2676.52
78, 3003, 2784.32
79, 3081, 2876.6
80, 3160, 2930.88
81, 3240, 2958
82, 3321, 3093.32
83, 3403, 3118.28
84, 3486, 3241.28
85, 3570, 3296.28
86, 3655, 3350.76
87, 3741, 3447.44
88, 3828, 3571.12
89, 3916, 3615.84
90, 4005, 3700.88
91, 4095, 3674.52
92, 4186, 3868.2
93, 4278, 3995.64
94, 4371, 4087.28
95, 4465, 4239.44
96, 4560, 4257.72
97, 4656, 4397.24
98, 4753, 4500.16
99, 4851, 4615.36
100, 4950, 4676.8
