InputSize, Comp(NES), Comp(ES)
1, 0, 0
2, 1, 1
3, 3, 2
4, 6, 3
5, 10, 4
6, 15, 5
7, 21, 6
8, 28, 7
9, 36, 8
10, 45, 9
11, 55, 10
12, 66, 11
13, 78, 12
14, 91, 13
15, 105, 14
16, 120, 15
17, 136, 16
18, 153, 17
19, 171, 18
20, 190, 19
21, 210, 20
22, 231, 21
23, 253, 22
24, 276, 23
25, 300, 24
26, 325, 25
27, 351, 26
28, 378, 27
29, 406, 28
30, 435, 29
31, 465, 30
32, 496, 31
33, 528, 32
34, 561, 33
35, 595, 34
36, 630, 35
37, 666, 36
38, 703, 37
39, 741, 38
40, 780, 39
41, 820, 40
42, 861, 41
43, 903, 42
44, 946, 43
45, 990, 44
46, 1035, 45
47, 1081, 46
48, 1128, 47
49, 1176, 48
50, 1225, 49
51, 1275, 50
52, 1326, 51
53, 1378, 52
54, 1431, 53
55, 1485, 54
56, 1540, 55
57, 1596, 56
58, 1653, 57
59, 1711, 58
60, 1770, 59
61, 1830, 60
62, 1891, 61
63, 1953, 62
64, 2016, 63
65, 2080, 64
66, 2145, 65
67, 2211, 66
68, 2278, 67
69, 2346, 68
70, 2415, 69
71, 2485, 70
72, 2556, 71
73, 2628, 72
74, 2701, 73
75, 2775, 74
76, 2850, 75
77, 2926, 76
78, 3003, 77
79, 3081, 78
80, 3160, 79
81, 3240, 80
82, 3321, 81
83, 3403, 82
84, 3486, 83
85, 3570, 84
86, 3655, 85
87, 3741, 86
88, 3828, 87
89, 3916, 88
90, 4005, 89
91, 4095, 90
92, 4186, 91
93, 4278, 92
94, 4371, 93
95, 4465, 94
96, 4560, 95
97, 4656, 96
98, 4753, 97
99, 4851, 98
100, 4950, 99
