InputSize, Comp(ISort), Comp(QSort)
10, 38, 48
11, 37, 51
12, 47, 64
13, 50, 78
14, 72, 77
15, 86, 79
16, 71, 94
17, 87, 117
18, 109, 107
19, 97, 129
20, 109, 137
21, 153, 143
22, 149, 163
23, 157, 145
24, 141, 156
25, 179, 155
26, 150, 213
27, 176, 172
28, 261, 211
29, 306, 196
30, 314, 221
31, 339, 223
32, 345, 249
33, 370, 242
34, 364, 273
35, 403, 253
36, 372, 283
37, 399, 291
38, 438, 338
39, 508, 275
40, 458, 319
41, 530, 332
42, 467, 331
43, 509, 323
44, 576, 322
45, 572, 344
46, 659, 344
47, 605, 385
48, 639, 404
49, 731, 366
50, 832, 376
51, 736, 426
52, 806, 454
53, 875, 454
54, 761, 442
55, 777, 448
56, 1163, 424
57, 912, 460
58, 1062, 587
59, 992, 492
60, 1127, 513
61, 1111, 500
62, 1128, 548
63, 1401, 575
64, 1286, 565
65, 1072, 547
66, 1156, 563
67, 1200, 574
68, 1260, 651
69, 1370, 597
70, 1431, 787
71, 1447, 619
72, 1559, 702
73, 1731, 637
74, 1525, 639
75, 1602, 660
76, 1742, 741
77, 1613, 704
78, 1639, 735
79, 1994, 676
80, 1743, 813
81, 1890, 679
82, 2061, 790
83, 1939, 727
84, 2012, 803
85, 2282, 795
86, 2146, 758
87, 2219, 804
88, 1933, 816
89, 2398, 923
90, 2498, 938
91, 2574, 896
92, 2334, 896
93, 2186, 867
94, 2594, 934
95, 2765, 877
96, 2761, 900
97, 2927, 920
98, 2718, 926
99, 3175, 902
100, 2862, 931
101, 2987, 979
102, 2950, 989
103, 2832, 988
104, 3084, 1052
105, 3239, 1095
106, 3385, 938
107, 3438, 1043
108, 3452, 1068
109, 3561, 1039
110, 3494, 1037
111, 3632, 1131
112, 2878, 1153
113, 3781, 1110
114, 3759, 1210
115, 3548, 1042
116, 4002, 1247
117, 3533, 1233
118, 4593, 1178
119, 4035, 1184
120, 4441, 1165
121, 4608, 1155
122, 4540, 1335
123, 4519, 1297
124, 4452, 1380
125, 4716, 1241
126, 4903, 1281
127, 4759, 1206
128, 4405, 1191
129, 4911, 1322
130, 4644, 1418
131, 5102, 1495
132, 4969, 1321
133, 5607, 1403
134, 5051, 1283
135, 5761, 1447
136, 5725, 1406
137, 5689, 1334
138, 5732, 1345
