InputSize, Comp(ISort), Comp(QSort)
10, 29, 50
11, 43, 67
12, 41, 68
13, 57, 66
14, 59, 76
15, 71, 86
16, 85, 105
17, 87, 107
18, 101, 103
19, 128, 116
20, 114, 139
21, 114, 127
22, 161, 143
23, 157, 187
24, 233, 150
25, 200, 159
26, 203, 178
27, 197, 211
28, 216, 192
29, 229, 209
30, 268, 215
31, 252, 248
32, 282, 283
33, 350, 230
34, 333, 260
35, 410, 261
36, 391, 272
37, 492, 292
38, 555, 284
39, 440, 283
40, 521, 293
41, 475, 301
42, 571, 309
43, 520, 357
44, 556, 363
45, 595, 355
46, 680, 365
47, 730, 411
48, 612, 375
49, 706, 391
50, 742, 410
51, 813, 431
52, 759, 452
53, 836, 397
54, 1066, 475
55, 866, 450
56, 991, 505
57, 909, 500
58, 861, 534
59, 1107, 468
60, 1050, 515
61, 1234, 501
62, 1045, 530
63, 961, 670
64, 1352, 563
65, 1350, 613
66, 1121, 572
67, 1326, 634
68, 1516, 585
69, 1437, 552
70, 1490, 627
71, 1443, 585
72, 1674, 637
73, 1401, 705
74, 1614, 587
75, 1696, 651
76, 1547, 672
77, 1646, 686
78, 1748, 723
79, 1970, 715
80, 1998, 745
81, 1785, 779
82, 1787, 708
83, 1743, 758
84, 2201, 763
85, 2150, 814
86, 2037, 769
87, 2413, 840
88, 2088, 785
89, 2211, 815
90, 2563, 915
91, 2479, 819
92, 2466, 881
93, 2562, 848
94, 2766, 859
95, 2879, 958
96, 2700, 961
97, 2417, 836
98, 2952, 927
99, 2739, 945
100, 2964, 923
