InputSize, Comp(QSort), Comp(HQSort)
100, 697, 515
101, 813, 648
102, 675, 501
103, 692, 483
104, 780, 600
105, 614, 398
106, 664, 468
107, 733, 548
108, 803, 612
109, 788, 590
110, 727, 522
111, 867, 629
112, 819, 605
113, 811, 611
114, 777, 587
115, 704, 465
116, 737, 532
117, 951, 769
118, 955, 757
119, 831, 631
120, 801, 606
121, 797, 599
122, 1007, 805
123, 1026, 802
124, 909, 715
125, 945, 704
126, 986, 766
127, 909, 694
128, 1051, 791
129, 889, 685
130, 970, 761
131, 947, 676
132, 1246, 1009
133, 934, 718
134, 862, 606
135, 845, 603
136, 1029, 763
137, 967, 743
138, 1016, 792
139, 1242, 989
140, 994, 753
141, 1202, 922
142, 1113, 848
143, 1252, 1004
144, 967, 704
145, 1378, 1131
146, 1231, 962
147, 1049, 802
148, 969, 734
149, 1157, 882
150, 994, 725
151, 1036, 763
152, 1269, 1008
153, 1121, 837
154, 1022, 739
155, 1173, 898
156, 1172, 897
157, 1129, 857
158, 1145, 873
159, 1166, 872
160, 1264, 1021
161, 1322, 1024
162, 1323, 1052
163, 1131, 796
164, 1359, 1061
165, 1297, 1010
166, 1295, 1026
167, 1414, 1124
168, 1405, 1105
169, 1407, 1101
170, 1502, 1205
171, 1502, 1184
172, 1223, 910
173, 1190, 877
174, 1254, 974
175, 1374, 1005
176, 1254, 976
177, 1644, 1314
178, 1412, 1104
179, 1543, 1245
180, 1385, 1049
181, 1470, 1142
182, 1316, 993
183, 1698, 1389
184, 1430, 1075
185, 1481, 1173
186, 1400, 1052
187, 1642, 1341
188, 1383, 1043
189, 1628, 1320
190, 1523, 1216
191, 1597, 1237
192, 1871, 1522
193, 1606, 1272
194, 1652, 1319
195, 1979, 1556
196, 1710, 1363
197, 2081, 1747
198, 1376, 993
199, 1553, 1166
200, 1556, 1213
201, 1768, 1469
202, 1673, 1320
203, 1584, 1212
204, 1911, 1538
205, 1864, 1515
206, 1474, 1115
207, 1877, 1488
208, 1796, 1483
209, 1668, 1290
210, 1597, 1196
211, 1759, 1401
212, 1570, 1218
213, 1685, 1268
214, 1684, 1312
215, 2117, 1759
216, 1643, 1270
217, 1871, 1499
218, 1715, 1343
219, 1937, 1548
220, 1782, 1376
221, 1695, 1271
222, 1922, 1547
223, 1746, 1344
224, 2261, 1858
225, 2000, 1572
226, 1832, 1447
227, 1818, 1428
228, 1915, 1521
229, 1849, 1411
230, 2105, 1695
231, 2018, 1627
232, 1893, 1453
233, 1996, 1596
234, 1970, 1576
235, 1945, 1543
236, 1881, 1471
237, 2202, 1820
238, 2225, 1885
239, 2005, 1591
240, 1936, 1554
241, 2264, 1826
242, 2040, 1639
243, 2102, 1682
244, 2176, 1725
245, 2278, 1828
246, 1978, 1520
247, 2410, 1968
248, 1924, 1523
249, 2209, 1805
250, 2140, 1750
251, 2197, 1681
252, 2123, 1669
253, 2233, 1767
254, 1991, 1505
255, 2484, 2018
256, 2063, 1604
257, 2401, 1958
258, 2011, 1640
259, 2342, 1831
260, 2116, 1687
261, 2255, 1781
262, 2051, 1610
263, 2025, 1546
264, 2187, 1692
265, 2509, 2061
266, 2168, 1696
267, 2334, 1885
268, 2390, 1900
269, 2294, 1799
270, 2638, 2133
271, 2490, 2006
272, 2545, 2074
273, 2249, 1740
274, 2531, 2065
275, 2547, 2055
276, 2286, 1836
277, 2442, 1935
278, 2165, 1670
279, 2789, 2322
280, 2551, 2003
281, 2654, 2150
282, 2741, 2267
283, 2300, 1798
284, 2935, 2369
285, 2581, 2037
286, 2389, 1874
287, 3059, 2561
288, 2848, 2326
289, 2554, 2071
290, 2405, 1871
291, 3160, 2632
292, 2793, 2274
293, 2495, 1933
294, 2410, 1910
295, 2475, 1973
296, 2580, 2072
297, 2864, 2351
298, 2555, 1979
299, 2907, 2418
300, 2780, 2201
301, 2879, 2271
302, 2699, 2155
303, 3056, 2539
304, 2817, 2292
305, 2605, 2060
306, 2924, 2347
307, 2850, 2306
308, 2597, 2048
309, 2565, 1980
310, 2492, 1892
311, 3103, 2515
312, 2477, 1913
313, 2776, 2225
314, 3025, 2518
315, 3000, 2432
316, 3076, 2453
317, 2708, 2160
318, 3123, 2613
319, 2914, 2362
320, 3415, 2868
321, 3233, 2652
322, 3420, 2819
323, 2836, 2274
324, 3221, 2644
325, 2721, 2136
326, 2637, 2078
327, 3062, 2490
328, 3524, 2936
329, 2795, 2206
330, 3106, 2564
331, 3340, 2798
332, 3547, 2983
333, 2989, 2382
334, 2823, 2198
335, 3081, 2482
336, 2943, 2433
337, 3084, 2459
338, 2873, 2256
339, 3001, 2408
340, 2766, 2138
341, 3587, 2959
342, 2699, 2088
343, 2943, 2344
344, 3002, 2405
345, 3479, 2875
346, 2808, 2225
347, 3129, 2556
348, 3358, 2799
349, 3412, 2770
350, 3084, 2478
351, 3222, 2593
352, 3378, 2714
353, 2956, 2304
354, 2968, 2332
355, 3205, 2593
356, 3195, 2583
357, 3152, 2523
358, 3124, 2481
359, 2973, 2329
360, 3669, 2989
361, 3717, 3062
362, 3052, 2367
363, 4777, 4167
364, 3904, 3261
365, 3698, 3057
366, 3821, 3122
367, 3182, 2522
368, 3226, 2506
369, 3417, 2726
370, 4313, 3583
371, 3770, 3122
372, 3766, 3063
373, 3684, 3027
374, 3133, 2471
375, 3433, 2727
376, 3846, 3206
377, 3339, 2606
378, 3627, 2984
379, 4500, 3780
380, 3731, 3038
381, 3915, 3233
382, 3353, 2741
383, 4369, 3624
384, 4100, 3367
385, 3571, 2855
386, 3448, 2726
387, 3692, 3036
388, 3468, 2778
389, 3289, 2594
390, 3693, 3027
391, 4345, 3692
392, 3993, 3296
393, 3732, 3041
394, 3875, 3137
395, 4252, 3521
396, 3496, 2752
397, 4000, 3250
398, 3963, 3298
399, 3268, 2578
400, 3687, 3005
