InputSize, Comp(NES), Comp(ES)
1, 0, 0
2, 0.04, 0.04
3, 0.12, 0.08
4, 0.24, 0.12
5, 0.4, 0.16
6, 0.6, 0.2
7, 0.84, 0.24
8, 1.12, 0.28
9, 1.44, 0.32
10, 1.8, 0.36
11, 2.2, 0.4
12, 2.64, 0.44
13, 3.12, 0.48
14, 3.64, 0.52
15, 4.2, 0.56
16, 4.8, 0.6
17, 5.44, 0.64
18, 6.12, 0.68
19, 6.84, 0.72
20, 7.6, 0.76
21, 8.4, 0.8
22, 9.24, 0.84
23, 10.12, 0.88
24, 11.04, 0.92
25, 12, 0.96
26, 13, 1
27, 14.04, 1.04
28, 15.12, 1.08
29, 16.24, 1.12
30, 17.4, 1.16
31, 18.6, 1.2
32, 19.84, 1.24
33, 21.12, 1.28
34, 22.44, 1.32
35, 23.8, 1.36
36, 25.2, 1.4
37, 26.64, 1.44
38, 28.12, 1.48
39, 29.64, 1.52
40, 31.2, 1.56
41, 32.8, 1.6
42, 34.44, 1.64
43, 36.12, 1.68
44, 37.84, 1.72
45, 39.6, 1.76
46, 41.4, 1.8
47, 43.24, 1.84
48, 45.12, 1.88
49, 47.04, 1.92
50, 49, 1.96
51, 51, 2
52, 53.04, 2.04
53, 55.12, 2.08
54, 57.24, 2.12
55, 59.4, 2.16
56, 61.6, 2.2
57, 63.84, 2.24
58, 66.12, 2.28
59, 68.44, 2.32
60, 70.8, 2.36
61, 73.2, 2.4
62, 75.64, 2.44
63, 78.12, 2.48
64, 80.64, 2.52
65, 83.2, 2.56
66, 85.8, 2.6
67, 88.44, 2.64
68, 91.12, 2.68
69, 93.84, 2.72
70, 96.6, 2.76
71, 99.4, 2.8
72, 102.24, 2.84
73, 105.12, 2.88
74, 108.04, 2.92
75, 111, 2.96
76, 114, 3
77, 117.04, 3.04
78, 120.12, 3.08
79, 123.24, 3.12
80, 126.4, 3.16
81, 129.6, 3.2
82, 132.84, 3.24
83, 136.12, 3.28
84, 139.44, 3.32
85, 142.8, 3.36
86, 146.2, 3.4
87, 149.64, 3.44
88, 153.12, 3.48
89, 156.64, 3.52
90, 160.2, 3.56
91, 163.8, 3.6
92, 167.44, 3.64
93, 171.12, 3.68
94, 174.84, 3.72
95, 178.6, 3.76
96, 182.4, 3.8
97, 186.24, 3.84
98, 190.12, 3.88
99, 194.04, 3.92
100, 198, 3.96
