InputSize,NormalComparisons,RandomizedComparisons,NormalTime_us,RandomizedTime_us
100,735,643,20,23
200,1444,1652,49,66
300,2408,2355,100,61
400,3408,4243,105,112
500,4596,4518,120,136
600,6369,5288,175,128
700,7315,6992,165,156
800,7745,8285,222,723
900,10213,9851,291,562
1000,10187,10298,277,371
1100,13125,12381,403,380
1200,14660,12719,392,392
1300,14822,14866,418,429
1400,16392,16085,556,516
1500,18952,16221,542,1754
1600,18621,17902,1058,950
1700,21478,19950,618,733
1800,21523,24185,862,1859
1900,22023,25881,889,634
2000,24599,24789,558,564
2100,26537,24150,613,584
2200,26558,27459,534,629
2300,31071,29035,898,999
2400,31320,29930,5459,3214
2500,32003,31429,641,617
2600,36636,32576,584,675
2700,33542,35590,571,2403
2800,37235,37975,657,1686
2900,39574,36805,777,912
3000,37385,43255,1148,792
3100,42799,40238,658,713
3200,45778,42912,958,808
3300,45130,46262,687,822
3400,43702,45503,696,787
3500,44294,46371,720,841
3600,46844,52044,1922,1660
3700,48508,47895,3880,1534
3800,52447,51978,1943,1449
3900,56760,53728,938,923
4000,57659,53606,1466,1086
4100,57533,55011,861,1113
4200,55717,57673,976,3545
4300,68823,57440,1335,1042
4400,60488,66730,1196,1201
4500,63811,61114,1017,1158
4600,60648,59927,1921,1786
4700,65414,65427,1409,1136
4800,65671,66332,1437,1329
4900,67909,71402,1730,1872
5000,75010,71073,1715,1249
5100,76164,72373,1143,1188
5200,74793,72182,3806,1298
5300,71007,73935,1209,1988
5400,76010,75169,1206,1278
5500,74848,78463,1241,1578
5600,77778,80157,1410,1446
5700,81953,81869,1284,2915
5800,89142,80284,1982,1456
5900,85256,84682,3559,2182
6000,82530,83549,1490,3071
6100,88690,98228,1553,1615
6200,91860,88087,2700,1560
6300,94669,91041,1453,2152
6400,94193,100227,2051,1977
6500,93034,91268,1814,3582
6600,107295,100462,1757,3020
6700,100010,105749,5520,3176
6800,94980,100769,2319,2700
6900,105176,101667,1685,1785
7000,105160,103051,2250,2931
7100,104660,112834,1576,2032
7200,107027,102792,1680,1942
7300,100325,106558,1655,2014
7400,110382,115839,3194,2639
7500,112525,114332,2299,1949
7600,116272,126163,2963,2097
7700,119304,120270,4841,3229
7800,123783,111701,3208,1923
7900,119707,117125,2190,6469
8000,117462,120084,3205,2077
8100,126383,121306,2847,6021
8200,117075,123627,1907,2123
8300,134925,120935,2079,2109
8400,124432,134644,5995,4372
8500,126984,122616,2768,5855
8600,135198,138101,3282,4408
8700,125334,127680,2102,4347
8800,149916,139571,2205,4610
8900,139288,135122,2441,2862
9000,144603,135553,2606,2320
9100,135267,140605,2385,2895
9200,131625,139205,2746,2636
9300,138744,141489,2234,2475
9400,156820,140137,2513,4487
9500,141419,151959,2266,5096
9600,146076,152125,2278,5397
9700,144345,142092,2407,5862
9800,150282,155817,3357,3638
9900,145412,158302,2863,2665
10000,156268,157494,3085,5109
