Toss,HH,HT,TH,TT,P(HH),P(HT),P(TH),P(TT)
1, 0, 0, 0, 1, 0, 0, 0, 1
2, 0, 0, 1, 1, 0, 0, 0.5, 0.5
3, 0, 1, 1, 1, 0, 0.333333, 0.333333, 0.333333
4, 1, 1, 1, 1, 0.25, 0.25, 0.25, 0.25
5, 1, 1, 1, 2, 0.2, 0.2, 0.2, 0.4
6, 2, 1, 1, 2, 0.333333, 0.166667, 0.166667, 0.333333
7, 2, 1, 1, 3, 0.285714, 0.142857, 0.142857, 0.428571
8, 2, 2, 1, 3, 0.25, 0.25, 0.125, 0.375
9, 3, 2, 1, 3, 0.333333, 0.222222, 0.111111, 0.333333
10, 4, 2, 1, 3, 0.4, 0.2, 0.1, 0.3
11, 4, 2, 2, 3, 0.363636, 0.181818, 0.181818, 0.272727
12, 4, 2, 3, 3, 0.333333, 0.166667, 0.25, 0.25
13, 4, 2, 4, 3, 0.307692, 0.153846, 0.307692, 0.230769
14, 4, 3, 4, 3, 0.285714, 0.214286, 0.285714, 0.214286
15, 4, 3, 5, 3, 0.266667, 0.2, 0.333333, 0.2
16, 5, 3, 5, 3, 0.3125, 0.1875, 0.3125, 0.1875
17, 6, 3, 5, 3, 0.352941, 0.176471, 0.294118, 0.176471
18, 6, 3, 6, 3, 0.333333, 0.166667, 0.333333, 0.166667
19, 6, 3, 6, 4, 0.315789, 0.157895, 0.315789, 0.210526
20, 6, 4, 6, 4, 0.3, 0.2, 0.3, 0.2
21, 6, 5, 6, 4, 0.285714, 0.238095, 0.285714, 0.190476
22, 6, 5, 7, 4, 0.272727, 0.227273, 0.318182, 0.181818
23, 6, 5, 8, 4, 0.26087, 0.217391, 0.347826, 0.173913
24, 6, 5, 8, 5, 0.25, 0.208333, 0.333333, 0.208333
25, 6, 6, 8, 5, 0.24, 0.24, 0.32, 0.2
26, 6, 7, 8, 5, 0.230769, 0.269231, 0.307692, 0.192308
27, 6, 7, 9, 5, 0.222222, 0.259259, 0.333333, 0.185185
28, 6, 8, 9, 5, 0.214286, 0.285714, 0.321429, 0.178571
29, 7, 8, 9, 5, 0.241379, 0.275862, 0.310345, 0.172414
30, 7, 8, 10, 5, 0.233333, 0.266667, 0.333333, 0.166667
31, 8, 8, 10, 5, 0.258065, 0.258065, 0.322581, 0.16129
32, 8, 9, 10, 5, 0.25, 0.28125, 0.3125, 0.15625
33, 8, 9, 10, 6, 0.242424, 0.272727, 0.30303, 0.181818
34, 9, 9, 10, 6, 0.264706, 0.264706, 0.294118, 0.176471
35, 10, 9, 10, 6, 0.285714, 0.257143, 0.285714, 0.171429
36, 10, 9, 10, 7, 0.277778, 0.25, 0.277778, 0.194444
37, 10, 9, 10, 8, 0.27027, 0.243243, 0.27027, 0.216216
